file,age,gender,ethnicity,service_test,age_original,gender_original,ethnicity_original,bin_age,bin_ethnicity
42514.jpg,3,0,0,False,20-29,Female,Black,0,0
82340.jpg,2,0,0,True,10-19,Female,Black,0,0
76285.jpg,3,0,0,False,20-29,Female,Black,0,0
56411.jpg,3,0,0,True,20-29,Female,Black,0,0
12510.jpg,5,0,0,True,40-49,Male,Black,1,0
23786.jpg,4,0,0,False,30-39,Female,Black,1,0
83860.jpg,1,0,0,False,3-9,Female,Black,0,0
val_2542.jpg,2,0,0,False,10-19,Female,Black,0,0
888.jpg,2,0,0,True,10-19,Female,Black,0,0
11081.jpg,1,0,0,True,3-9,Female,Black,0,0
64405.jpg,3,0,0,True,20-29,Female,Black,0,0
81373.jpg,8,0,0,False,more than 70,Female,Black,1,0
8680.jpg,4,0,0,False,30-39,Female,Black,1,0
val_1423.jpg,2,0,0,True,10-19,Female,Black,0,0
69706.jpg,3,0,0,False,20-29,Female,Black,0,0
3610.jpg,4,0,0,False,30-39,Female,Black,1,0
13789.jpg,1,0,0,False,3-9,Female,Black,0,0
8955.jpg,3,0,0,True,20-29,Female,Black,0,0
val_6780.jpg,5,0,0,False,40-49,Female,Black,1,0
39661.jpg,3,0,0,True,20-29,Female,Black,0,0
66479.jpg,3,0,0,True,20-29,Female,Black,0,0
74338.jpg,5,0,0,False,40-49,Female,Black,1,0
84911.jpg,5,0,0,True,40-49,Female,Black,1,0
58088.jpg,3,0,0,True,20-29,Male,Black,0,0
val_10488.jpg,1,0,0,True,3-9,Female,Black,0,0
81155.jpg,5,0,0,False,40-49,Female,Black,1,0
79332.jpg,1,0,0,False,3-9,Female,Black,0,0
64037.jpg,3,0,0,True,20-29,Female,Black,0,0
54001.jpg,3,0,0,True,20-29,Female,Black,0,0
val_4416.jpg,3,0,0,True,20-29,Female,Black,0,0
62352.jpg,3,0,0,True,20-29,Female,Black,0,0
val_7455.jpg,4,0,0,True,30-39,Female,Black,1,0
val_10395.jpg,4,0,0,True,30-39,Female,Black,1,0
10772.jpg,1,0,0,True,3-9,Female,Black,0,0
74857.jpg,3,0,0,True,20-29,Female,Black,0,0
41742.jpg,2,0,0,False,10-19,Female,Black,0,0
20116.jpg,2,0,0,True,10-19,Male,Black,0,0
83307.jpg,1,0,0,False,3-9,Female,Black,0,0
val_2762.jpg,4,0,0,False,30-39,Female,Black,1,0
40886.jpg,3,0,0,False,20-29,Female,Black,0,0
47136.jpg,3,0,0,True,20-29,Female,Black,0,0
18720.jpg,4,0,0,True,30-39,Female,Black,1,0
37221.jpg,4,0,0,True,30-39,Female,Black,1,0
1981.jpg,3,0,0,False,20-29,Female,Black,0,0
66170.jpg,3,0,0,False,20-29,Female,Black,0,0
61427.jpg,3,0,0,False,20-29,Female,Black,0,0
18962.jpg,1,0,0,True,3-9,Male,Black,0,0
2280.jpg,3,0,0,False,20-29,Female,Black,0,0
24689.jpg,3,0,0,False,20-29,Female,Black,0,0
val_1785.jpg,5,0,0,True,40-49,Female,Black,1,0
82526.jpg,4,0,0,False,30-39,Female,Black,1,0
595.jpg,4,0,0,False,30-39,Female,Black,1,0
46680.jpg,1,0,0,False,3-9,Female,Black,0,0
72833.jpg,6,0,0,False,50-59,Female,Black,1,0
15916.jpg,2,0,0,False,10-19,Female,Black,0,0
26274.jpg,5,0,0,False,40-49,Female,Black,1,0
60423.jpg,3,0,0,True,20-29,Female,Black,0,0
54249.jpg,6,0,0,False,50-59,Female,Black,1,0
val_1530.jpg,2,0,0,False,10-19,Male,Black,0,0
42151.jpg,3,0,0,True,20-29,Male,Black,0,0
74691.jpg,3,0,0,True,20-29,Female,Black,0,0
val_2917.jpg,3,0,0,True,20-29,Female,Black,0,0
60128.jpg,2,0,0,False,10-19,Female,Black,0,0
5514.jpg,4,0,0,True,30-39,Female,Black,1,0
3098.jpg,1,0,0,False,3-9,Female,Black,0,0
14041.jpg,1,0,0,True,3-9,Female,Black,0,0
25830.jpg,4,0,0,False,30-39,Female,Black,1,0
26650.jpg,1,0,0,False,3-9,Female,Black,0,0
81774.jpg,4,0,0,False,30-39,Female,Black,1,0
64945.jpg,3,0,0,True,20-29,Female,Black,0,0
56915.jpg,5,0,0,False,40-49,Female,Black,1,0
52876.jpg,3,0,0,True,20-29,Female,Black,0,0
61357.jpg,3,0,0,True,20-29,Female,Black,0,0
83847.jpg,5,0,0,True,40-49,Female,Black,1,0
77862.jpg,6,0,0,True,50-59,Female,Black,1,0
11454.jpg,2,0,0,False,10-19,Female,Black,0,0
val_6528.jpg,2,0,0,True,10-19,Male,Black,0,0
263.jpg,5,0,0,False,40-49,Female,Black,1,0
3821.jpg,3,0,0,False,20-29,Female,Black,0,0
val_4721.jpg,5,0,0,True,40-49,Female,Black,1,0
3432.jpg,0,0,0,True,0-2,Male,Black,0,0
43289.jpg,2,0,0,False,10-19,Female,Black,0,0
47832.jpg,3,0,0,True,20-29,Female,Black,0,0
val_5709.jpg,2,0,0,False,10-19,Female,Black,0,0
11483.jpg,4,0,0,False,30-39,Male,Black,1,0
64740.jpg,4,0,0,False,30-39,Female,Black,1,0
12934.jpg,4,0,0,True,30-39,Female,Black,1,0
75937.jpg,5,0,0,True,40-49,Female,Black,1,0
9800.jpg,2,0,0,False,10-19,Female,Black,0,0
67934.jpg,4,0,0,False,30-39,Female,Black,1,0
37773.jpg,3,0,0,True,20-29,Female,Black,0,0
67487.jpg,5,0,0,False,40-49,Female,Black,1,0
714.jpg,7,0,0,True,60-69,Female,Black,1,0
55943.jpg,8,0,0,True,more than 70,Female,Black,1,0
2226.jpg,4,0,0,False,30-39,Female,Black,1,0
73722.jpg,4,0,0,False,30-39,Female,Black,1,0
val_338.jpg,5,0,0,False,40-49,Female,Black,1,0
val_2913.jpg,4,0,0,False,30-39,Female,Black,1,0
61269.jpg,6,0,0,False,50-59,Female,Black,1,0
4181.jpg,3,0,0,True,20-29,Male,Black,0,0
17862.jpg,3,0,0,False,20-29,Female,Black,0,0
276.jpg,1,0,0,False,3-9,Male,Black,0,0
77434.jpg,6,0,0,True,50-59,Female,Black,1,0
2195.jpg,3,0,0,True,20-29,Female,Black,0,0
81989.jpg,6,0,0,False,50-59,Female,Black,1,0
58230.jpg,7,0,0,True,60-69,Female,Black,1,0
22651.jpg,4,0,0,True,30-39,Female,Black,1,0
83643.jpg,2,0,0,True,10-19,Female,Black,0,0
26538.jpg,4,0,0,True,30-39,Female,Black,1,0
val_10725.jpg,7,0,0,False,60-69,Female,Black,1,0
57568.jpg,3,0,0,False,20-29,Female,Black,0,0
49734.jpg,6,0,0,False,50-59,Female,Black,1,0
65361.jpg,4,0,0,False,30-39,Female,Black,1,0
20094.jpg,1,0,0,False,3-9,Female,Black,0,0
50840.jpg,6,0,0,False,50-59,Female,Black,1,0
23060.jpg,3,0,0,True,20-29,Female,Black,0,0
68086.jpg,3,0,0,False,20-29,Female,Black,0,0
val_9246.jpg,1,0,0,True,3-9,Female,Black,0,0
61523.jpg,1,0,0,False,3-9,Male,Black,0,0
49307.jpg,2,0,0,False,10-19,Female,Black,0,0
43467.jpg,2,0,0,True,10-19,Female,Black,0,0
830.jpg,1,0,0,False,3-9,Female,Black,0,0
74652.jpg,3,0,0,False,20-29,Female,Black,0,0
val_3029.jpg,6,0,0,False,50-59,Female,Black,1,0
959.jpg,7,0,0,False,60-69,Female,Black,1,0
9036.jpg,4,0,0,False,30-39,Female,Black,1,0
19015.jpg,4,0,0,False,30-39,Female,Black,1,0
16993.jpg,6,0,0,False,50-59,Female,Black,1,0
val_5893.jpg,4,0,0,True,30-39,Female,Black,1,0
30341.jpg,1,0,0,True,3-9,Female,Black,0,0
40160.jpg,5,0,0,True,40-49,Female,Black,1,0
20509.jpg,3,0,0,True,20-29,Female,Black,0,0
val_7564.jpg,5,0,0,False,40-49,Female,Black,1,0
3509.jpg,2,0,0,False,10-19,Female,Black,0,0
39528.jpg,4,0,0,False,30-39,Female,Black,1,0
3502.jpg,4,0,0,False,30-39,Female,Black,1,0
77214.jpg,4,0,0,True,30-39,Male,Black,1,0
46125.jpg,4,0,0,True,30-39,Female,Black,1,0
34346.jpg,3,0,0,False,20-29,Female,Black,0,0
21456.jpg,4,0,0,False,30-39,Female,Black,1,0
29760.jpg,3,0,0,True,20-29,Female,Black,0,0
23220.jpg,3,0,0,False,20-29,Female,Black,0,0
35249.jpg,6,0,0,False,50-59,Female,Black,1,0
53949.jpg,2,0,0,False,10-19,Female,Black,0,0
val_1006.jpg,1,0,0,False,3-9,Female,Black,0,0
84222.jpg,4,0,0,False,30-39,Female,Black,1,0
val_5194.jpg,4,0,0,True,30-39,Female,Black,1,0
53517.jpg,4,0,0,False,30-39,Female,Black,1,0
38634.jpg,2,0,0,True,10-19,Female,Black,0,0
49101.jpg,5,0,0,False,40-49,Female,Black,1,0
val_4535.jpg,5,0,0,False,40-49,Male,Black,1,0
7954.jpg,4,0,0,False,30-39,Female,Black,1,0
13298.jpg,1,0,0,True,3-9,Female,Black,0,0
55141.jpg,0,0,0,True,0-2,Female,Black,0,0
35864.jpg,6,0,0,False,50-59,Female,Black,1,0
51925.jpg,4,0,0,True,30-39,Female,Black,1,0
47909.jpg,7,0,0,False,60-69,Female,Black,1,0
84961.jpg,8,0,0,False,more than 70,Male,Black,1,0
13190.jpg,4,0,0,False,30-39,Male,Black,1,0
71436.jpg,4,0,0,False,30-39,Female,Black,1,0
29215.jpg,2,0,0,True,10-19,Female,Black,0,0
13243.jpg,3,0,0,True,20-29,Female,Black,0,0
46578.jpg,4,0,0,False,30-39,Female,Black,1,0
25824.jpg,3,0,0,False,20-29,Female,Black,0,0
75237.jpg,2,0,0,True,10-19,Female,Black,0,0
85570.jpg,2,0,0,True,10-19,Male,Black,0,0
15196.jpg,4,0,0,True,30-39,Female,Black,1,0
56552.jpg,2,0,0,True,10-19,Female,Black,0,0
73274.jpg,4,0,0,True,30-39,Female,Black,1,0
42823.jpg,4,0,0,False,30-39,Female,Black,1,0
31707.jpg,1,0,0,False,3-9,Female,Black,0,0
7017.jpg,4,0,0,False,30-39,Female,Black,1,0
46686.jpg,3,0,0,False,20-29,Female,Black,0,0
36031.jpg,2,0,0,False,10-19,Female,Black,0,0
49623.jpg,3,0,0,False,20-29,Female,Black,0,0
66038.jpg,1,0,0,True,3-9,Male,Black,0,0
19010.jpg,2,0,0,True,10-19,Female,Black,0,0
20197.jpg,4,0,0,False,30-39,Male,Black,1,0
3383.jpg,4,0,0,False,30-39,Female,Black,1,0
24997.jpg,6,0,0,True,50-59,Female,Black,1,0
val_5691.jpg,4,0,0,True,30-39,Female,Black,1,0
70500.jpg,7,0,0,True,60-69,Female,Black,1,0
64587.jpg,4,0,0,False,30-39,Female,Black,1,0
69263.jpg,2,0,0,False,10-19,Female,Black,0,0
25949.jpg,1,0,0,False,3-9,Female,Black,0,0
60226.jpg,4,0,0,False,30-39,Female,Black,1,0
val_3715.jpg,3,0,0,False,20-29,Female,Black,0,0
48611.jpg,1,0,0,True,3-9,Female,Black,0,0
85224.jpg,4,0,0,False,30-39,Female,Black,1,0
58741.jpg,4,0,0,False,30-39,Female,Black,1,0
val_1941.jpg,3,0,0,True,20-29,Female,Black,0,0
59948.jpg,3,0,0,True,20-29,Female,Black,0,0
val_384.jpg,3,0,0,True,20-29,Female,Black,0,0
14112.jpg,2,0,0,False,10-19,Female,Black,0,0
14149.jpg,5,0,0,True,40-49,Female,Black,1,0
val_9649.jpg,1,0,0,False,3-9,Female,Black,0,0
30568.jpg,3,0,0,False,20-29,Female,Black,0,0
1050.jpg,2,0,0,True,10-19,Female,Black,0,0
21362.jpg,5,0,0,True,40-49,Female,Black,1,0
5346.jpg,5,0,0,True,40-49,Female,Black,1,0
14271.jpg,1,0,0,True,3-9,Female,Black,0,0
22046.jpg,3,0,0,False,20-29,Female,Black,0,0
80535.jpg,3,0,0,True,20-29,Female,Black,0,0
73161.jpg,2,0,0,True,10-19,Female,Black,0,0
37967.jpg,1,0,0,False,3-9,Female,Black,0,0
51518.jpg,3,0,0,True,20-29,Male,Black,0,0
29572.jpg,3,0,0,False,20-29,Female,Black,0,0
61470.jpg,5,0,0,True,40-49,Female,Black,1,0
7876.jpg,5,0,0,True,40-49,Female,Black,1,0
70915.jpg,6,0,0,False,50-59,Male,Black,1,0
10833.jpg,1,0,0,False,3-9,Female,Black,0,0
69050.jpg,3,0,0,False,20-29,Female,Black,0,0
48218.jpg,4,0,0,True,30-39,Female,Black,1,0
71393.jpg,3,0,0,True,20-29,Male,Black,0,0
71493.jpg,1,0,0,False,3-9,Female,Black,0,0
val_221.jpg,7,0,0,True,60-69,Female,Black,1,0
75882.jpg,3,0,0,True,20-29,Female,Black,0,0
26169.jpg,5,0,0,True,40-49,Female,Black,1,0
27431.jpg,6,0,0,True,50-59,Female,Black,1,0
70102.jpg,4,0,0,False,30-39,Female,Black,1,0
5154.jpg,2,0,0,True,10-19,Male,Black,0,0
72008.jpg,1,0,0,False,3-9,Female,Black,0,0
5496.jpg,3,0,0,False,20-29,Female,Black,0,0
9276.jpg,4,0,0,True,30-39,Female,Black,1,0
val_9147.jpg,4,0,0,True,30-39,Female,Black,1,0
52208.jpg,3,0,0,True,20-29,Female,Black,0,0
33294.jpg,5,0,0,True,40-49,Female,Black,1,0
54266.jpg,4,0,0,True,30-39,Female,Black,1,0
77363.jpg,2,0,0,False,10-19,Female,Black,0,0
39398.jpg,4,0,0,False,30-39,Female,Black,1,0
69922.jpg,3,0,0,True,20-29,Female,Black,0,0
40250.jpg,5,0,0,False,40-49,Female,Black,1,0
37855.jpg,3,0,0,True,20-29,Female,Black,0,0
78795.jpg,6,0,0,False,50-59,Female,Black,1,0
13790.jpg,3,0,0,True,20-29,Male,Black,0,0
