img_id,img_filename,class_id,class_name,y,split,split_name,unique_img_filename,place,place_filename
9446,161.Blue_winged_Warbler/Blue_Winged_Warbler_0023_161774.jpg,161,161.Blue_winged_Warbler,0,3,train_balanced,train_balanced_9446_Blue_Winged_Warbler_0023_161774.jpg,0,/home/emre/disco_v2/datasets/places/train/forest-broadleaf/00002519.jpg
8411,144.Common_Tern/Common_Tern_0043_147753.jpg,144,144.Common_Tern,1,3,train_balanced,train_balanced_8411_Common_Tern_0043_147753.jpg,0,/home/emre/disco_v2/datasets/places/train/forest-broadleaf/00003493.jpg
139,003.Sooty_Albatross/Sooty_Albatross_0024_1161.jpg,3,003.Sooty_Albatross,1,3,train_balanced,train_balanced_139_Sooty_Albatross_0024_1161.jpg,1,/home/emre/disco_v2/datasets/places/train/ocean/00004323.jpg
178,003.Sooty_Albatross/Sooty_Albatross_0013_796402.jpg,3,003.Sooty_Albatross,1,3,train_balanced,train_balanced_178_Sooty_Albatross_0013_796402.jpg,1,/home/emre/disco_v2/datasets/places/train/ocean/00003869.jpg
9277,158.Bay_breasted_Warbler/Bay_Breasted_Warbler_0081_159963.jpg,158,158.Bay_breasted_Warbler,0,3,train_balanced,train_balanced_9277_Bay_Breasted_Warbler_0081_159963.jpg,0,/home/emre/disco_v2/datasets/places/train/bamboo_forest/00004965.jpg
2964,052.Pied_billed_Grebe/Pied_Billed_Grebe_0048_35670.jpg,52,052.Pied_billed_Grebe,1,3,train_balanced,train_balanced_2964_Pied_Billed_Grebe_0048_35670.jpg,0,/home/emre/disco_v2/datasets/places/train/bamboo_forest/00002718.jpg
8063,138.Tree_Swallow/Tree_Swallow_0008_135352.jpg,138,138.Tree_Swallow,0,3,train_balanced,train_balanced_8063_Tree_Swallow_0008_135352.jpg,0,/home/emre/disco_v2/datasets/places/train/forest-broadleaf/00004478.jpg
2832,050.Eared_Grebe/Eared_Grebe_0068_34052.jpg,50,050.Eared_Grebe,1,3,train_balanced,train_balanced_2832_Eared_Grebe_0068_34052.jpg,1,/home/emre/disco_v2/datasets/places/train/lake-natural/00001341.jpg
471,009.Brewer_Blackbird/Brewer_Blackbird_0132_2293.jpg,9,009.Brewer_Blackbird,0,3,train_balanced,train_balanced_471_Brewer_Blackbird_0132_2293.jpg,0,/home/emre/disco_v2/datasets/places/train/bamboo_forest/00002873.jpg
5159,089.Hooded_Merganser/Hooded_Merganser_0057_796742.jpg,89,089.Hooded_Merganser,1,3,train_balanced,train_balanced_5159_Hooded_Merganser_0057_796742.jpg,1,/home/emre/disco_v2/datasets/places/train/ocean/00002961.jpg
